||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_brkB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_brkE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_mul’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_plus’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_col’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_sub’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_dot’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_div’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_row’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_litl’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_assign’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_gret’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_exp’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_root’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_brkDB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_brkDE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_equ’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_trg’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_blkB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_or’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|229|warning: enumeration value ‘gpeISA_blkE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|392|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|25|warning: unused variable ‘nAN’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|25|warning: unused variable ‘nALU’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|26|warning: unused variable ‘nALF’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|27|warning: unused variable ‘d’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|27|warning: unused variable ‘pBEG’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|30|warning: unused variable ‘nLAB’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|30|warning: unused variable ‘nSTR’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|32|warning: variable ‘lab’ set but not used [-Wunused-but-set-variable]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|46|warning: unused variable ‘pA’ [-Wunused-variable]|
include/gpeALF.h|1186|warning: inline function ‘gpeALF gpfSTR2ALF(const U1*, const U1*, U1**)’ used but never defined|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x2& U4x2::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|1445|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyRST()’:|
/home/pi/Desktop/piMASS/piMASS.h|4441|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h|61|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcres.h|56|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcISA::str(gpcLZY&)’:|
/home/pi/Desktop/piMASS/gpcres.h|69|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcISA::AN(const I8x2&)’:|
/home/pi/Desktop/piMASS/gpcres.h|91|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcISA::var(gpeALF, gpeISA)’:|
/home/pi/Desktop/piMASS/gpcres.h|101|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcISA::trg(const U4x2&)’:|
/home/pi/Desktop/piMASS/gpcres.h|113|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In constructor ‘gpcADR::gpcADR()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h|157|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcres.h||In constructor ‘gpcALU::gpcALU()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h|354|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcALU& gpcALU::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h|448|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘gpcISA* gpcRES::resISA_stp(U1)’:|
/home/pi/Desktop/piMASS/gpcres.h|755|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In constructor ‘gpcRES::gpcRES(gpcRES*)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h|816|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘U4 gpcRES::nFND()’:|
/home/pi/Desktop/piMASS/gpcres.h|981|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
/home/pi/Desktop/piMASS/gpcres.h|985|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp||In member function ‘gpcRES* gpcRES::compiEASY(U1*, U1*, U1**, gpcRES*)’:|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|13|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcres_compi.cpp|10|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
./piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
./piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
./piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
./piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
./piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
./piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
./piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
./piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
./piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
./piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
./piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
./gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
./gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
./gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
./gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
./piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcSRC.h|662|note: in expansion of macro ‘min’|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
./piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
./piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
./piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpcres_run.cpp||In member function ‘gpcRES* gpcRES::RESrun(gpcRES*, gpcLZY*, gpcWIN&, gpcSRC*, gpcRES*, U4, gpcSTK*)’:|
/home/pi/Desktop/piMASS/gpcres_run.cpp|76|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|77|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|303|warning: statement has no effect [-Wunused-value]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_nop’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_u8’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_i8’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_d8’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_an’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_anFUN’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_var’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_FUN’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_dim’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_not’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_str’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_tag’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_dollar’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_rem’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_and’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_brkB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_brkE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_mul’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_plus’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_col’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_sub’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_div’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_row’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_litl’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_gret’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_exp’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_root’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_brkDB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_brkDE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_equ’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_trg’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_blkB’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_or’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|334|warning: enumeration value ‘gpeISA_blkE’ not handled in switch [-Wswitch]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|24|warning: unused variable ‘iASG’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|24|warning: unused variable ‘nOUT’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|26|warning: unused variable ‘u8’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|27|warning: unused variable ‘i8’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|28|warning: unused variable ‘d8’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|31|warning: unused variable ‘nB’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|42|warning: unused variable ‘mxZN’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcres_run.cpp||In member function ‘U1* gpcMASS::justDOit(gpcWIN&)’:|
/home/pi/Desktop/piMASS/gpcres_run.cpp|518|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|550|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|637|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|772|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|850|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
/home/pi/Desktop/piMASS/gpcres_run.cpp|793|warning: unused variable ‘pBGRA’ [-Wunused-variable]|
./piMASS.h||In member function ‘I4x2& I4x2::null()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|2278|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In member function ‘U8 I8x2::an2str(U1*, const U1*, bool)’:|
./piMASS.h|3301|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyRST()’:|
./piMASS.h|4441|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
./piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::syncADD(gpcSYNC, U4&)’:|
./piMASS.h|4274|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp_rand(U8&, U8, U8, U1)’:|
./piMASS.h|4588|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|4583|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyRD(char*, U8&, U1)’:|
./piMASS.h|4710|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcpic.h||In constructor ‘gpcPIC::gpcPIC(I8x2, U4)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcpic.h|118|note: in expansion of macro ‘gpmCLR’|
./gpcpic.h||In member function ‘U1* gpcPIC::getPIX()’:|
./gpcpic.h|125|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcgt.h||In member function ‘gpcGT* gpcGTall::iGT(U4)’:|
./gpcgt.h|601|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
./gpcSRC.h|463|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcSRC.h||In member function ‘U4* gpcMAP::MAPalloc(const U4x2&, U4x4&, U4)’:|
./gpcSRC.h|500|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcSRC.h||In member function ‘U4 gpcMASS::getXFNDzn(const U4x2&)’:|
./gpcSRC.h|1171|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcSRC.h||In member function ‘U4 gpcMASS::getXFNDan(I4x2)’:|
./gpcSRC.h|1184|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcSRC.h||In member function ‘gpcSRC* gpcMASS::SRCfnd(U4)’:|
./gpcSRC.h|1298|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In constructor ‘gpcADR::gpcADR()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|157|note: in expansion of macro ‘gpmCLR’|
./gpcres.h||In member function ‘gpcADR& gpcADR::operator=(gpeALF)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|166|note: in expansion of macro ‘gpmCLR’|
./gpcres.h||In member function ‘U1* gpcREG::getSTR()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|222|note: in expansion of macro ‘gpmCLR’|
./gpcres.h|219|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In constructor ‘gpcALU::gpcALU()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|354|note: in expansion of macro ‘gpmCLR’|
./gpcres.h||In member function ‘gpcALU& gpcALU::null()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|448|note: in expansion of macro ‘gpmCLR’|
./gpcres.h||In member function ‘U8 gpcALU::u8()’:|
./gpcres.h|512|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In member function ‘I8 gpcALU::i8()’:|
./gpcres.h|553|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In constructor ‘gpcSTK::gpcSTK(gpcSTK*, gpcRES*, gpcSRC*)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|666|note: in expansion of macro ‘gpmCLR’|
